trial,graph_type,graph_size,method,repair_budget,avg_conflicts,avg_recolors,avg_colors_used,avg_latency,total_repairs
1,ER,50,GNN (no repair),0.0,260.2,0.1,1.1,52.257513999938965,0
1,ER,50,GNN + Repair(3),3.0,209.0,2.6,3.0,42.217230796813965,30
1,ER,50,GNN + Repair(5),5.0,181.2,3.0,3.2,34.760212898254395,50
1,ER,50,Greedy,,0.0,18.0,4.7,0.07083415985107422,0
1,ER,50,DSATUR,,0.0,19.6,4.1,1.2746334075927734,0
1,ER,100,GNN (no repair),0.0,498.4,0.4,1.1,164.2580509185791,0
1,ER,100,GNN + Repair(3),3.0,441.0,2.8,2.5,39.71419334411621,30
1,ER,100,GNN + Repair(5),5.0,406.8,3.2,2.8,41.34418964385986,50
1,ER,100,Greedy,,0.0,48.8,4.7,0.13539791107177734,0
1,ER,100,DSATUR,,0.0,50.4,4.1,4.9118757247924805,0
1,ER,200,GNN (no repair),0.0,1112.0,1.3,1.8,85.66603660583496,0
1,ER,200,GNN + Repair(3),3.0,1040.4,3.3,2.8,42.42753982543945,30
1,ER,200,GNN + Repair(5),5.0,999.0,4.4,2.9,43.89643669128418,50
1,ER,200,Greedy,,0.0,100.2,5.0,0.2630472183227539,0
1,ER,200,DSATUR,,0.0,115.4,4.1,20.374679565429688,0
1,BA,50,GNN (no repair),0.0,239.8,0.7,1.3,56.95233345031738,0
1,BA,50,GNN + Repair(3),3.0,171.8,2.0,3.0,39.92598056793213,30
1,BA,50,GNN + Repair(5),5.0,143.8,2.7,3.2,54.50475215911865,50
1,BA,50,Greedy,,0.0,23.2,4.7,0.07278919219970703,0
1,BA,50,DSATUR,,0.0,26.3,4.0,1.2820243835449219,0
1,BA,100,GNN (no repair),0.0,472.8,1.5,1.5,58.66653919219971,0
1,BA,100,GNN + Repair(3),3.0,389.8,2.8,3.5,34.085798263549805,30
1,BA,100,GNN + Repair(5),5.0,348.2,3.4,3.7,33.08839797973633,49
1,BA,100,Greedy,,0.0,28.6,4.9,0.1270294189453125,0
1,BA,100,DSATUR,,0.0,36.7,4.0,5.085539817810059,0
1,BA,200,GNN (no repair),0.0,890.2,3.1,2.0,72.85964488983154,0
1,BA,200,GNN + Repair(3),3.0,805.4,5.0,3.6,46.30262851715088,30
1,BA,200,GNN + Repair(5),5.0,761.4,5.5,4.0,51.781511306762695,49
1,BA,200,Greedy,,0.0,65.6,5.0,0.2503395080566406,0
1,BA,200,DSATUR,,0.0,73.2,4.2,20.6326961517334,0
1,WS,50,GNN (no repair),0.0,196.8,0.0,1.0,127.45444774627684,0
1,WS,50,GNN + Repair(3),3.0,161.6,3.3,2.6,28.43770980834961,30
1,WS,50,GNN + Repair(5),5.0,142.0,4.6,2.9,24.045205116271973,50
1,WS,50,Greedy,,0.0,25.9,4.1,0.05867481231689453,0
1,WS,50,DSATUR,,0.0,24.8,3.7,1.181960105895996,0
1,WS,100,GNN (no repair),0.0,407.2,0.0,1.0,68.71864795684814,0
1,WS,100,GNN + Repair(3),3.0,366.8,2.2,2.6,36.53078079223633,30
1,WS,100,GNN + Repair(5),5.0,343.2,4.2,3.0,34.86511707305908,50
1,WS,100,Greedy,,0.0,45.7,4.1,0.11532306671142578,0
1,WS,100,DSATUR,,0.0,54.5,3.9,4.572081565856934,0
1,WS,200,GNN (no repair),0.0,828.6,0.0,1.0,82.76972770690918,0
1,WS,200,GNN + Repair(3),3.0,780.8,2.4,2.2,38.95270824432373,30
1,WS,200,GNN + Repair(5),5.0,754.2,4.2,2.6,37.8232479095459,50
1,WS,200,Greedy,,0.0,90.3,4.5,0.23317337036132812,0
1,WS,200,DSATUR,,0.0,106.4,4.0,18.119382858276367,0
2,ER,50,GNN (no repair),0.0,255.0,0.4,1.1,39.722490310668945,0
2,ER,50,GNN + Repair(3),3.0,200.8,3.0,3.0,32.76722431182861,30
2,ER,50,GNN + Repair(5),5.0,173.6,4.4,3.7,27.361154556274414,50
2,ER,50,Greedy,,0.0,26.7,4.4,0.06334781646728516,0
2,ER,50,DSATUR,,0.0,27.8,4.1,1.276564598083496,0
2,ER,100,GNN (no repair),0.0,484.0,1.1,1.1,70.02830505371094,0
2,ER,100,GNN + Repair(3),3.0,423.2,3.3,2.1,34.40723419189453,30
2,ER,100,GNN + Repair(5),5.0,389.8,5.0,2.8,28.512024879455566,50
2,ER,100,Greedy,,0.0,42.5,4.7,0.12674331665039062,0
2,ER,100,DSATUR,,0.0,44.7,4.0,4.8950910568237305,0
2,ER,200,GNN (no repair),0.0,1041.0,2.3,1.1,82.15680122375488,0
2,ER,200,GNN + Repair(3),3.0,967.2,3.6,2.1,41.052913665771484,30
2,ER,200,GNN + Repair(5),5.0,923.6,3.6,2.4,44.354915618896484,50
2,ER,200,Greedy,,0.0,85.4,5.0,0.24356842041015625,0
2,ER,200,DSATUR,,0.0,125.4,4.1,19.658350944519043,0
2,BA,50,GNN (no repair),0.0,239.0,0.7,1.3,28.34916114807129,0
2,BA,50,GNN + Repair(3),3.0,169.2,2.0,4.0,32.85422325134277,30
2,BA,50,GNN + Repair(5),5.0,136.8,3.2,4.3,38.62125873565674,50
2,BA,50,Greedy,,0.0,12.4,4.5,0.06325244903564453,0
2,BA,50,DSATUR,,0.0,16.1,4.0,1.2691736221313477,0
2,BA,100,GNN (no repair),0.0,449.6,1.5,1.5,59.514427185058594,0
2,BA,100,GNN + Repair(3),3.0,369.6,2.9,3.4,36.68384552001953,30
2,BA,100,GNN + Repair(5),5.0,329.2,3.4,4.0,44.53921318054199,50
2,BA,100,Greedy,,0.0,34.0,4.6,0.13082027435302734,0
2,BA,100,DSATUR,,0.0,44.5,4.0,5.019950866699219,0
2,BA,200,GNN (no repair),0.0,903.6,3.5,1.9,76.86374187469482,0
2,BA,200,GNN + Repair(3),3.0,813.8,5.2,3.4,40.22014141082764,30
2,BA,200,GNN + Repair(5),5.0,766.8,6.8,3.7,45.42036056518555,50
2,BA,200,Greedy,,0.0,79.0,5.1,0.2467632293701172,0
2,BA,200,DSATUR,,0.0,121.0,4.0,20.343828201293945,0
2,WS,50,GNN (no repair),0.0,200.0,0.0,1.0,37.738895416259766,0
2,WS,50,GNN + Repair(3),3.0,163.4,4.0,2.7,29.143166542053223,30
2,WS,50,GNN + Repair(5),5.0,141.8,5.4,3.0,24.242544174194336,50
2,WS,50,Greedy,,0.0,23.8,4.0,0.05848407745361328,0
2,WS,50,DSATUR,,0.0,26.2,3.7,1.1940479278564453,0
2,WS,100,GNN (no repair),0.0,371.0,0.0,1.0,57.11636543273926,0
2,WS,100,GNN + Repair(3),3.0,330.4,2.6,2.4,24.477601051330566,30
2,WS,100,GNN + Repair(5),5.0,308.6,3.9,2.9,25.554466247558594,50
2,WS,100,Greedy,,0.0,38.8,4.1,0.11513233184814453,0
2,WS,100,DSATUR,,0.0,48.5,3.7,4.498147964477539,0
2,WS,200,GNN (no repair),0.0,756.0,0.0,1.0,78.94232273101807,0
2,WS,200,GNN + Repair(3),3.0,713.2,3.2,2.0,34.865450859069824,30
2,WS,200,GNN + Repair(5),5.0,687.4,5.2,2.4,29.113268852233887,50
2,WS,200,Greedy,,0.0,91.9,4.1,0.22182464599609375,0
2,WS,200,DSATUR,,0.0,109.7,4.0,17.889404296875,0
3,ER,50,GNN (no repair),0.0,254.6,0.1,1.1,52.390074729919434,0
3,ER,50,GNN + Repair(3),3.0,199.4,2.1,2.6,31.264901161193848,30
3,ER,50,GNN + Repair(5),5.0,169.2,3.4,3.1,26.743102073669434,50
3,ER,50,Greedy,,0.0,26.5,4.8,0.08380413055419922,0
3,ER,50,DSATUR,,0.0,21.7,4.0,1.414799690246582,0
3,ER,100,GNN (no repair),0.0,532.8,0.6,1.1,45.89388370513916,0
3,ER,100,GNN + Repair(3),3.0,469.2,2.6,2.5,30.659842491149902,30
3,ER,100,GNN + Repair(5),5.0,434.4,4.7,3.1,26.572775840759277,50
3,ER,100,Greedy,,0.0,48.1,4.9,0.14884471893310547,0
3,ER,100,DSATUR,,0.0,56.2,4.1,5.797767639160156,0
3,ER,200,GNN (no repair),0.0,1045.4,1.9,1.9,74.84831809997559,0
3,ER,200,GNN + Repair(3),3.0,974.8,3.9,3.0,37.89353370666504,30
3,ER,200,GNN + Repair(5),5.0,936.0,6.0,3.1,44.191813468933105,50
3,ER,200,Greedy,,0.0,91.2,5.1,0.24471282958984378,0
3,ER,200,DSATUR,,0.0,113.6,4.1,19.760727882385254,0
3,BA,50,GNN (no repair),0.0,240.2,0.7,1.3,21.512508392333984,0
3,BA,50,GNN + Repair(3),3.0,165.2,2.5,3.4,30.7584285736084,30
3,BA,50,GNN + Repair(5),5.0,132.8,2.5,3.7,40.26622772216797,50
3,BA,50,Greedy,,0.0,19.2,4.8,0.06701946258544922,0
3,BA,50,DSATUR,,0.0,27.1,4.1,1.2993812561035156,0
3,BA,100,GNN (no repair),0.0,493.0,1.6,1.5,47.05371856689453,0
3,BA,100,GNN + Repair(3),3.0,409.0,2.8,3.5,40.633225440979004,30
3,BA,100,GNN + Repair(5),5.0,370.8,4.2,3.6,47.41792678833008,50
3,BA,100,Greedy,,0.0,38.7,4.8,0.12814998626708984,0
3,BA,100,DSATUR,,0.0,45.0,4.1,5.031538009643555,0
3,BA,200,GNN (no repair),0.0,950.8,3.0,2.0,72.14117050170898,0
3,BA,200,GNN + Repair(3),3.0,862.2,4.9,3.7,42.80219078063965,30
3,BA,200,GNN + Repair(5),5.0,814.6,5.7,4.0,38.69497776031494,49
3,BA,200,Greedy,,0.0,77.3,4.9,0.2511262893676758,0
3,BA,200,DSATUR,,0.0,93.6,4.1,20.378470420837402,0
3,WS,50,GNN (no repair),0.0,186.8,0.0,1.0,66.3928747177124,0
3,WS,50,GNN + Repair(3),3.0,149.2,1.5,2.4,31.057357788085938,30
3,WS,50,GNN + Repair(5),5.0,130.4,3.5,3.1,25.360107421875,50
3,WS,50,Greedy,,0.0,20.2,4.0,0.05619525909423828,0
3,WS,50,DSATUR,,0.0,19.9,3.5,1.1762380599975586,0
3,WS,100,GNN (no repair),0.0,393.4,0.0,1.0,64.13693428039551,0
3,WS,100,GNN + Repair(3),3.0,353.8,2.4,2.7,35.273027420043945,30
3,WS,100,GNN + Repair(5),5.0,331.0,3.8,3.1,41.815948486328125,50
3,WS,100,Greedy,,0.0,50.3,4.2,0.11758804321289062,0
3,WS,100,DSATUR,,0.0,52.6,4.0,4.541563987731934,0
3,WS,200,GNN (no repair),0.0,785.0,0.0,1.0,56.66308403015137,0
3,WS,200,GNN + Repair(3),3.0,739.0,2.3,2.1,37.10603713989258,30
3,WS,200,GNN + Repair(5),5.0,714.0,3.9,2.9,37.55154609680176,50
3,WS,200,Greedy,,0.0,80.8,4.3,0.22733211517333984,0
3,WS,200,DSATUR,,0.0,95.5,4.0,18.001246452331543,0
